file_name,content,extracted_at
jd0.docx,"About the job
Your new company 
A scaling Technology Group, based in the heart of Brisbane CBD is seeking to hire a top-tier AI Engineer, to be embedded within their talent team. Providing 'tech for good' technology, this business has been built on cutting-edge technology and continues to push the boundaries of Gen AI, as they grow their business, and delight their customers. This is a truly unique opportunity to be part of something special, and join a growing technology business.


Your new role 
Our customer is seeking a full-time Generative AI Engineer to join their Brisbane team. In this role, you will be responsible for developing and implementing AI solutions that enhance their platform. The key responsibilities include conducting research and development of AI/ML solutions to enhance platform capabilities, fine-tuning and optimising Large Language Models (LLMs) for domain-specific applications, and developing LLM-based applications to automate and streamline complex workflows. You will also perform prompt engineering and optimisation to ensure high-quality AI outputs, integrate AI solutions into production environments with scalability and reliability in mind, and design, develop, and maintain APIs for seamless AI integration. This is a role that will require plenty of collaboration with a talented peer group, and the chance to bring your own ideas to the emerging space.


What you'll need to succeed 
You will need over 2 years of experience in developing and deploying AI/ML solutions or similar technologies, and at least 1 year of experience in deploying AI applications to production environments. The ideal candidate should have expertise in building applications using Large Language Models (LLMs) and experience with LLM frameworks such as LangChain and LlamaIndex. Proficiency with vector databases and LLMOps for model management is essential, along with strong experience in API integration and design. Familiarity with the Azure technology stack, including Azure Machine Learning and Azure Cognitive Services, is also required. Additionally, a solid background in Natural Language Processing (NLP), deep learning, and classical machine learning is necessary. 


What you'll get in return 
You will get the chance to work on cutting edge technology, as part of a talented peer group, and be exposed to future Gen AI trends and technology. Hybrid environment, with a couple of days in the office and the rest at home. Salary is highly dependent on experience.


What you need to do now 


If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.
If this job isn't quite right for you, but you are looking for a new position, please contact us for a confidential discussion about your career.",2025-02-27 18:57:40.029817
jd0.pdf,"About the job  
Your new company   
A scaling Technology Group, based in the heart of Brisbane CBD is seeking to hire a 
top-tier AI Engineer, to be embedded within their talent team. Providing 'tech for good' 
technology, this business has been built on cutting -edge technology and continues t o 
push the boundaries of Gen AI, as they grow their business, and delight their customers. 
This is a truly unique opportunity to be part of something special, and join a growing 
technology business.  
 
 
Your new role   
Our customer is seeking a full -time Generative AI Engineer to join their Brisbane team. 
In this role, you will be responsible for developing and implementing AI solutions that 
enhance their platform. The key responsibilities include conducting research and  
development of AI/ML solutions to enhance platform capabilities, fine -tuning and 
optimising Large Language Models (LLMs) for domain -specific applications, and 
developing LLM -based applications to automate and streamline complex workflows. 
You will also pe rform prompt engineering and optimisation to ensure high -quality AI 
outputs, integrate AI solutions into production environments with scalability and 
reliability in mind, and design, develop, and maintain APIs for seamless AI integration. 
This is a role th at will require plenty of collaboration with a talented peer group, and the 
chance to bring your own ideas to the emerging space.  
 
 
What you'll need to succeed   
You will need over 2 years of experience in developing and deploying AI/ML solutions 
or similar technologies, and at least 1 year of experience in deploying AI applications to 
production environments. The ideal candidate should have expertise in building 
applications using Large Language Models (LLMs) and experience with LLM frameworks 
such as LangChain and LlamaIndex. Proficiency with vector databases and LLMOps for 
model management is essential, along with strong experience in API integration and 
design. Familiarity with the Azure technology stack, including Azure Machine Learning 
and Azure Cognitive Services, is also required. Additionally, a solid background in 
Natural Language Processing (NLP), deep learning, and classical machine learning is 
necessary.    
 
What you'll get in return   
You will get the chance to work on cutting edge technology, as part of a talented peer 
group, and be exposed to future Gen AI trends and technology. Hybrid environment, 
with a couple of days in the office and the rest at home. Salary is highly dependent on  
experience.  
 
 
What you need to do now   
 
 
If you're interested in this role, click 'apply now' to forward an up -to-date copy of your 
CV, or call us now.  
If this job isn't quite right for you, but you are looking for a new position, please contact 
us for a confidential discussion about your career.",2025-02-27 18:57:40.153156
jd1.docx,"About the job
About Breaker
Breaker is a software company on a mission to build robots that act more like humans. Sitting at the crossroads of generative AI and robotics, we develop software that enables robots to make smarter decisions, work better together, and communicate more effectively with humans.


We are a venture-backed startup working in the heart of the National Innovation Centre, surrounded by some of Australia’s most innovative deep-tech companies. At Breaker, you’ll work alongside highly experienced engineers tackling some of the toughest challenges in robotics and generative AI. We are looking for individuals who enjoy being challenged and thrive when working in the technical unknown.


At Breaker, we strongly believe in owning what you build and offer generous stock options to all employees who help us on our journey to change the way the world works with robots. If you’re looking for a fast-paced and growing company working on the cutting edge of technology, Breaker might just be for you.


About the Role
We are seeking a Machine Learning Engineer to design, train, and deploy advanced machine learning models that enhance robotic decision-making and communication. You will play a critical role in training large language models (LLMs) and transformer-based NLP systems, deploying models on edge devices, and integrating them with robotic systems. Responsibilities include driving end-to-end ML workflows, optimizing models for edge hardware, and collaborating with roboticists to bridge the gap between AI and robotics.


The ideal candidate is highly skilled in machine learning model development, deployment, and optimization, with a passion for building solutions that bring robots closer to human-level understanding and interaction.


About You
Required Skills and Experience:
 • Bachelor’s or Master’s degree in Computer Science, Artificial Intelligence, Machine Learning, Robotics, or a related professional field.
 • 2+ years of experience in one or more of the following areas:
 • Training large language models (LLMs) or transformer-based NLP systems.
 • Deploying machine learning models onto edge hardware, such as NVIDIA Jetson or similar platforms.
 • Integrating machine learning models with robotics systems.
 • Strong experience with Python and deep learning frameworks (e.g., PyTorch, TensorFlow).
 • Experience optimizing models for performance and efficiency in constrained environments.
 • Solid understanding of neural network architectures, attention mechanisms, and transfer learning.
 • Must be an Australian citizen.


Preferred Skills:
 • Experience with ROS/ROS2 development and integrating AI with robotic systems.
 • Familiarity with hardware acceleration (e.g., CUDA, TensorRT).
 • Knowledge of reinforcement learning or imitation learning techniques applied to robotics.
 • Understanding of robotics motion planning or control systems.
 • Strong software engineering skills, including version control (Git) and collaborative development workflows.
 • Prior experience working in small, collaborative teams.
 • Strong verbal and written communication skills.
 • Open to fieldwork and traveling as needed.


Why Join Us?
 • Competitive salary.
 • Stock options give you a stake in the company’s success.
 • Be part of a growing, mission-driven startup solving exciting challenges.
 • Work in a collaborative and fast-paced environment where your contributions will be highly valued.
 • Opportunities for professional growth and development.


Location: National Innovation Centre, Australia


If you’re excited about the opportunity to work at the intersection of machine learning and robotics, we’d love to hear from you!",2025-02-27 18:57:40.184064
jd1.pdf,"About the job  
About Breaker  
Breaker is a software company on a mission to build robots that act more like humans. 
Sitting at the crossroads of generative AI and robotics, we develop software that 
enables robots to make smarter decisions, work better together, and communicate 
more effectively with humans.  
 
 
We are a venture -backed startup working in the heart of the National Innovation 
Centre, surrounded by some of Australia’s most innovative deep -tech companies. At 
Breaker, you’ll work alongside highly experienced engineers tackling some of the 
toughest chal lenges in robotics and generative AI. We are looking for individuals who 
enjoy being challenged and thrive when working in the technical unknown.  
 
 
At Breaker, we strongly believe in owning what you build and offer generous stock 
options to all employees who help us on our journey to change the way the world 
works with robots. If you’re looking for a fast -paced and growing company working on 
the cutting edge of technology, Breaker might just be for you.  
 
 
About the Role  
We are seeking a  Machine Learning Engineer  to design, train, and deploy advanced 
machine learning models that enhance robotic decision -making and communication. 
You will play a critical role in training large language models (LLMs) and transformer -
based NLP systems, deploying models on edge devices , and integrating them with 
robotic systems. Responsibilities include driving end -to-end ML workflows, optimizing 
models for edge hardware, and collaborating with roboticists to bridge the gap 
between AI and robotics.  
 
 
The ideal candidate is highly skilled in machine learning model development, 
deployment, and optimization, with a passion for building solutions that bring robots closer to human -level understanding and interaction.  
 
 
About You  
Required Skills and Experience:  
 • Bachelor’s or Master’s degree in Computer Science, Artificial Intelligence, Machine 
Learning, Robotics, or a related professional field.  
 • 2+ years of experience in one or more of the following areas:  
 • Training large language models (LLMs) or transformer -based NLP systems.  
 • Deploying machine learning models onto edge hardware, such as NVIDIA Jetson or 
similar platforms.  
 • Integrating machine learning models with robotics systems.  
 • Strong experience with Python and deep learning frameworks (e.g., PyTorch, 
TensorFlow).  
 • Experience optimizing models for performance and efficiency in constrained 
environments.  
 • Solid understanding of neural network architectures, attention mechanisms, and 
transfer learning.  
 • Must be an Australian citizen.  
 
 
Preferred Skills:  
 • Experience with ROS/ROS2 development and integrating AI with robotic systems.  
 • Familiarity with hardware acceleration (e.g., CUDA, TensorRT).  
 • Knowledge of reinforcement learning or imitation learning techniques applied to 
robotics.  
 • Understanding of robotics motion planning or control systems.  
 • Strong software engineering skills, including version control (Git) and collaborative 
development workflows.   • Prior experience working in small, collaborative teams.  
 • Strong verbal and written communication skills.  
 • Open to fieldwork and traveling as needed.  
 
 
Why Join Us?  
 • Competitive salary.  
 • Stock options  give you a stake in the company’s success.  
 • Be part of a growing, mission -driven startup solving exciting challenges.  
 • Work in a collaborative and fast -paced environment where your contributions will be 
highly valued.  
 • Opportunities for professional growth and development.  
 
 
Location:  National Innovation Centre, Australia  
 
 
If you’re excited about the opportunity to work at the intersection of machine learning 
and robotics, we’d love to hear from you!",2025-02-27 18:57:40.294585
jd2.docx,"About the job
Let's talk about the team
 
Join nib Group's dynamic and innovative Data & AI team where you'll be working at the forefront of leveraging modern AI and Large Language Model (LLM) tooling to help revolutionise nib's nib Thrive NDIS business. As a Senior or mid-level Machine Learning Engineer, you will be part of a collaborative environment that thrives on creativity and cutting-edge technology.
 
The small cross functional team you will be working in is dedicated to processing and helping enhance various aspects of the Thrive NDIS business. You will work closely with the Thrive teams and other Data & AI squads, including experts in Software, AI, ML, and Data Science. Together, we aim to deliver impactful solutions that streamline operations and improve participant experiences.

Let's talk about this role
 
As a mid or senior Machine Learning Engineer at nib, you will be at the forefront of our data-driven initiatives at nib Group. You'll collaborate with cross-functional teams to design, develop, integrate with, and deploy innovative machine learning models that address critical business challenges. This role is fundamentally an engineering role building on cloud technologies; you know about machine learning and data science, but at heart, you want to create products with a real-world impact.
 
Some key responsibilities of this role include:
Collaboration: Work effectively with the business, software engineers, analysts, data scientists, and other engineers to deliver impactful solutions. 
 
Software, DevOps, and cloud engineering: Build, run, maintain, and enhance existing Intelligent Document Processing solution.
 
Model Development and Deployment: Build, train, and optimize ML models using advanced techniques and tools.
 
Data Engineering: Work closely with data engineers to ensure seamless data pipelines and feature engineering.
 
Model Monitoring and Maintenance: Continuously monitor model performance, identify issues, and implement improvements.
 
Platform Development: Contribute to the development and maintenance of our ML platform.
Let's talk about you
Awareness and understanding of Generative AI, Prompt Engineering and Large Language Models is highly desirable.
 
Experience applying machine learning methods to products, features and/or services, including minimizing footprint, evaluating trade-offs, and pipeline work.
 
Experience with cloud platforms, micro-services, and serverless architectures (ideally with AWS) and deployments, including devOps and CI/CD experience.
 
An ability to communicate effectively with non-engineers of varying levels at the company including coaching both technical and non-technical skills.
 
Previous experience with programming languages, techniques, and frameworks aligned with machine learning and software systems e.g. Python, Typescript, ML platforms such as Amazon SageMaker, LLMs platforms such as OpenAI, Amazon Bedrock, libraries like Pandas, & SKLearn.
 
Commercial experience developing solutions in languages such as Python, Node.JS/Typescript, Ruby and/or Golang.
 
Experience designing and building good ML engineering practices e.g., automated testing, continuous integration and continuous delivery.
 
Experience creating and deploying product machine learning and data science models with knowledge of end-to-end data scientist workflows.
 
Desirable exposure to workflow automation and Amazon Connect.
At nib, we recognise that some people may only apply when their education, skills and/or experiences are identical to what an employer is looking for in a candidate. We're always on the lookout for curious individuals who will add to the culture at nib Group - so if this role resonates with you, please apply! 

Let's talk about who we are 
 
The nib Group has a mission and vision of people enjoying better health. Through our success, we aspire to more prosperous and sustainable communities, not only the creation of enterprise value. nib is a trusted health partner, helping members and travellers make more informed healthcare decisions, transact with healthcare systems and generally live healthier lives.
 
We're looking for people who share this passion and want to be a part of a team that has the appetite and ambition to be extraordinary. Extraordinary comes in different perspectives and experiences. We're committed to an environment where everyone has the autonomy and freedom to be their authentic selves, every day. 

Let's talk about diversity, equity and inclusion 
 
We embrace a flexible working environment and welcome candidates that reflect the diversity of the communities in which we operate. We actively encourage Aboriginal and Torres Strait Islander peoples, people living with disability, LGBTQIA+ as well as culturally diverse community members to apply for open roles. 

nib Group is committed to creating an accessible recruitment process and employment experience. If you identify as a person living with disability and require adjustments to our online application, recruitment, selection and/or assessment process, or would like this advertisement in an alternative format, please contact us at . 

Let's talk about working at nib 
 
Our hybrid working model provides our employees with the flexibility to work from one of our office Hubs and from home based on what works best for them and their team. We make a commitment to come together with purpose and are excited to share moments that matter with one another. Our Hubs are purpose built to support focused work, connection, and collaboration with peers. We provide a new starter benefit as well as ongoing financial support to set up and maintain a functioning home workspace. At nib, we're committed to creating a flexible working environment where you're free to be you.
 
Other benefits to support you at work (and play) include: 
 
Generous discounts on nib health and travel insurance products including 50% discount on employee health insurance 
 
The opportunity to give back to the community through paid leave for volunteering through nib Foundation 
 
Support your better health - whatever that looks for you - through our nib Well Program and corporate fitness discounts 
 
Access to our employee share plans, short-term incentive program and life and salary continuance insurance benefits 
 
Benefits to support our diverse workforce with 18 weeks paid parental leave for all new parents regardless of carer status, 5 days paid cultural leave for First Nations peoples and 4 weeks paid gender affirmation leave for trans, gender diverse and intersex employees
The fine print 
 
All your information will be kept confidential according to EEO guidelines. Successful applicants will be required to complete a background check (including criminal history and bankruptcy check) prior to commencement of employment. 

We acknowledge Aboriginal and Torres Strait Islander peoples as the Traditional Custodians of the lands where we live, learn and work.",2025-02-27 18:57:40.329293
jd2.pdf,"About the job  
Let's talk about the team  
  
Join nib Group's dynamic and innovative Data & AI team where you'll be working at the 
forefront of leveraging modern AI and Large Language Model (LLM) tooling to help 
revolutionise nib's nib Thrive NDIS business. As a Senior or mid -level Machine Learning 
Engineer, you will be part of a collaborative environment that thrives on creativity and 
cutting-edge technology.  
  
The small cross functional team you will be working in is dedicated to processing and 
helping enhance various aspects of the Thrive NDIS bu siness. You will work closely with 
the Thrive teams and other Data & AI squads, including experts in Software, AI, ML, and 
Data Science. Together, we aim to deliver impactful solutions that streamline operations 
and improve participant experiences.  
 
Let's talk about this role  
  
As a mid or senior Machine Learning Engineer at nib, you will be at the forefront of our 
data-driven initiatives at nib Group. You'll collaborate with cross -functional teams to 
design, develop, integrate with, and deploy innovative machine learning models that 
address critical business challenges. This role is fundamentally an engineering role 
building on cloud technologies; you know about machine learning and data science, 
but at heart, you want to create products with a real -world impact.  
  
Some key res ponsibilities of this role include:  
• Collaboration: Work effectively with the business, software engineers, analysts, 
data scientists, and other engineers to deliver impactful solutions.   
  
• Software, DevOps, and cloud engineering: Build, run, maintain, and enhance 
existing Intelligent Document Processing solution.  
  
• Model Development and Deployment: Build, train, and optimize ML models 
using advanced techniques and tools.  
  
• Data Engineering: Work closely with data engineers to ensure seamless data 
pipelines and feature engineering.    
• Model Monitoring and Maintenance: Continuously monitor model performance, 
identify issues, and implement improvements.  
  
• Platform Development: Contribute to the development and maintenance of our 
ML platform.  
Let's talk about you  
• Awareness and understanding of Generative AI, Prompt Engineering and Large 
Language Models is highly desirable.  
  
• Experience applying machine learning methods to products, features and/or 
services, including minimizing footprint, evaluating trade -offs, and pipeline 
work.  
  
• Experience with cloud platforms, micro -services, and serverless architectures 
(ideally with AWS) and deployments, including devOps and CI/CD experience.  
  
• An ability to communicate effectively with non -engineers of varying levels at the 
company including coaching both technical and non -technical skills.  
  
• Previous experience with programming languages, techniques, and frameworks 
aligned with machine learning and software systems e.g. Python, Typescript, ML 
platforms such as Amazon SageMaker, LLMs platforms such as OpenAI, Amazon 
Bedrock, libraries like Pand as, & SKLearn.  
  
• Commercial experience developing solutions in languages such as Python, 
Node.JS/Typescript, Ruby and/or Golang.  
  
• Experience designing and building good ML engineering practices e.g., 
automated testing, continuous integration and continuous delivery.  
  
• Experience creating and deploying product machine learning and data science 
models with knowledge of end -to-end data scientist workflows.    
• Desirable exposure to workflow automation and Amazon Connect.  
At nib, we recognise that some people may only apply when their education, skills 
and/or experiences are identical to what an employer is looking for in a candidate. 
We're always on the lookout for curious individuals who will add to the culture at nib 
Group - so if this role resonates with you, please apply!   
 
Let's talk about who we are   
  
The nib Group has a mission and vision of people enjoying better health. Through our 
success, we aspire to more prosperous and sustainable communities, not only the 
creation of enterprise value. nib is a trusted health partner, helping members and 
travellers make more informed healthcare decisions, transact with healthcare systems 
and generally live healthier lives.  
  
We're looking for people who share this passion and want to be a part of a team that 
has the appetite and ambition to be extraordinary. E xtraordinary comes in different 
perspectives and experiences. We're committed to an environment where everyone has 
the autonomy and freedom to be their authentic selves, every day.   
 
Let's talk about diversity, equity and inclusion   
  
We embrace a flexible working environment and welcome candidates that reflect the 
diversity of the communities in which we operate. We actively encourage Aboriginal 
and Torres Strait Islander peoples, people living with disability, LGBTQIA+ as well as 
culturally diverse community members to apply for open roles.   
 
nib Group is committed to creating an accessible recruitment process and employment 
experience. If you identify as a person living with disability and require adjustments to 
our online applica tion, recruitment, selection and/or assessment process, or would like 
this advertisement in an alternative format, please contact us at .   
 
Let's talk about working at nib   
  
Our hybrid working model provides our employees with the flexibility to work from one 
of our office Hubs and from home based on what works best for them and their team. 
We make a commitment to come together with purpose and are excited to share moments that matter with one another. Our Hubs are purpose built to support focused 
work, connection, and collaboration with peers. We provide a new starter benefit as well 
as ongoing financial support to set up and maintain a functioning home workspace. A t 
nib, we're committed to creating a flexible working environment where you're free to be 
you. 
  
Other benefits to support you at work (and play) include:   
  
• Generous discounts on nib health and travel insurance products including 50% 
discount on employee health insurance   
  
• The opportunity to give back to the community through paid leave for 
volunteering through nib Foundation   
  
• Support your better health  - whatever that looks for you - through our nib Well 
Program and corporate fitness discounts   
  
• Access to our employee share plans, short -term incentive program and life and 
salary continuance insurance benefits   
  
• Benefits to support our diverse workforce with 18 weeks paid parental leave for 
all new parents regardless of carer status, 5 days paid cultural leave for First 
Nations peoples and 4 weeks paid gender affirmation leave for trans, gender 
diverse and interse x employees  
The fine print   
  
All your information will be kept confidential according to EEO guidelines. Successful 
applicants will be required to complete a background check (including criminal history 
and bankruptcy check) prior to commencement of employment.   
 
We acknowledge Aboriginal and Torres Strait Islander peoples as the Traditional 
Custodians of the lands where we live, learn and work.",2025-02-27 18:57:40.491850
jd0.docx,"About the job
Your new company 
A scaling Technology Group, based in the heart of Brisbane CBD is seeking to hire a top-tier AI Engineer, to be embedded within their talent team. Providing 'tech for good' technology, this business has been built on cutting-edge technology and continues to push the boundaries of Gen AI, as they grow their business, and delight their customers. This is a truly unique opportunity to be part of something special, and join a growing technology business.


Your new role 
Our customer is seeking a full-time Generative AI Engineer to join their Brisbane team. In this role, you will be responsible for developing and implementing AI solutions that enhance their platform. The key responsibilities include conducting research and development of AI/ML solutions to enhance platform capabilities, fine-tuning and optimising Large Language Models (LLMs) for domain-specific applications, and developing LLM-based applications to automate and streamline complex workflows. You will also perform prompt engineering and optimisation to ensure high-quality AI outputs, integrate AI solutions into production environments with scalability and reliability in mind, and design, develop, and maintain APIs for seamless AI integration. This is a role that will require plenty of collaboration with a talented peer group, and the chance to bring your own ideas to the emerging space.


What you'll need to succeed 
You will need over 2 years of experience in developing and deploying AI/ML solutions or similar technologies, and at least 1 year of experience in deploying AI applications to production environments. The ideal candidate should have expertise in building applications using Large Language Models (LLMs) and experience with LLM frameworks such as LangChain and LlamaIndex. Proficiency with vector databases and LLMOps for model management is essential, along with strong experience in API integration and design. Familiarity with the Azure technology stack, including Azure Machine Learning and Azure Cognitive Services, is also required. Additionally, a solid background in Natural Language Processing (NLP), deep learning, and classical machine learning is necessary. 


What you'll get in return 
You will get the chance to work on cutting edge technology, as part of a talented peer group, and be exposed to future Gen AI trends and technology. Hybrid environment, with a couple of days in the office and the rest at home. Salary is highly dependent on experience.


What you need to do now 


If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.
If this job isn't quite right for you, but you are looking for a new position, please contact us for a confidential discussion about your career.",2025-02-27 18:59:28.658291
jd0.pdf,"About the job  
Your new company   
A scaling Technology Group, based in the heart of Brisbane CBD is seeking to hire a 
top-tier AI Engineer, to be embedded within their talent team. Providing 'tech for good' 
technology, this business has been built on cutting -edge technology and continues t o 
push the boundaries of Gen AI, as they grow their business, and delight their customers. 
This is a truly unique opportunity to be part of something special, and join a growing 
technology business.  
 
 
Your new role   
Our customer is seeking a full -time Generative AI Engineer to join their Brisbane team. 
In this role, you will be responsible for developing and implementing AI solutions that 
enhance their platform. The key responsibilities include conducting research and  
development of AI/ML solutions to enhance platform capabilities, fine -tuning and 
optimising Large Language Models (LLMs) for domain -specific applications, and 
developing LLM -based applications to automate and streamline complex workflows. 
You will also pe rform prompt engineering and optimisation to ensure high -quality AI 
outputs, integrate AI solutions into production environments with scalability and 
reliability in mind, and design, develop, and maintain APIs for seamless AI integration. 
This is a role th at will require plenty of collaboration with a talented peer group, and the 
chance to bring your own ideas to the emerging space.  
 
 
What you'll need to succeed   
You will need over 2 years of experience in developing and deploying AI/ML solutions 
or similar technologies, and at least 1 year of experience in deploying AI applications to 
production environments. The ideal candidate should have expertise in building 
applications using Large Language Models (LLMs) and experience with LLM frameworks 
such as LangChain and LlamaIndex. Proficiency with vector databases and LLMOps for 
model management is essential, along with strong experience in API integration and 
design. Familiarity with the Azure technology stack, including Azure Machine Learning 
and Azure Cognitive Services, is also required. Additionally, a solid background in 
Natural Language Processing (NLP), deep learning, and classical machine learning is 
necessary.    
 
What you'll get in return   
You will get the chance to work on cutting edge technology, as part of a talented peer 
group, and be exposed to future Gen AI trends and technology. Hybrid environment, 
with a couple of days in the office and the rest at home. Salary is highly dependent on  
experience.  
 
 
What you need to do now   
 
 
If you're interested in this role, click 'apply now' to forward an up -to-date copy of your 
CV, or call us now.  
If this job isn't quite right for you, but you are looking for a new position, please contact 
us for a confidential discussion about your career.",2025-02-27 18:59:28.757513
jd1.docx,"About the job
About Breaker
Breaker is a software company on a mission to build robots that act more like humans. Sitting at the crossroads of generative AI and robotics, we develop software that enables robots to make smarter decisions, work better together, and communicate more effectively with humans.


We are a venture-backed startup working in the heart of the National Innovation Centre, surrounded by some of Australia’s most innovative deep-tech companies. At Breaker, you’ll work alongside highly experienced engineers tackling some of the toughest challenges in robotics and generative AI. We are looking for individuals who enjoy being challenged and thrive when working in the technical unknown.


At Breaker, we strongly believe in owning what you build and offer generous stock options to all employees who help us on our journey to change the way the world works with robots. If you’re looking for a fast-paced and growing company working on the cutting edge of technology, Breaker might just be for you.


About the Role
We are seeking a Machine Learning Engineer to design, train, and deploy advanced machine learning models that enhance robotic decision-making and communication. You will play a critical role in training large language models (LLMs) and transformer-based NLP systems, deploying models on edge devices, and integrating them with robotic systems. Responsibilities include driving end-to-end ML workflows, optimizing models for edge hardware, and collaborating with roboticists to bridge the gap between AI and robotics.


The ideal candidate is highly skilled in machine learning model development, deployment, and optimization, with a passion for building solutions that bring robots closer to human-level understanding and interaction.


About You
Required Skills and Experience:
 • Bachelor’s or Master’s degree in Computer Science, Artificial Intelligence, Machine Learning, Robotics, or a related professional field.
 • 2+ years of experience in one or more of the following areas:
 • Training large language models (LLMs) or transformer-based NLP systems.
 • Deploying machine learning models onto edge hardware, such as NVIDIA Jetson or similar platforms.
 • Integrating machine learning models with robotics systems.
 • Strong experience with Python and deep learning frameworks (e.g., PyTorch, TensorFlow).
 • Experience optimizing models for performance and efficiency in constrained environments.
 • Solid understanding of neural network architectures, attention mechanisms, and transfer learning.
 • Must be an Australian citizen.


Preferred Skills:
 • Experience with ROS/ROS2 development and integrating AI with robotic systems.
 • Familiarity with hardware acceleration (e.g., CUDA, TensorRT).
 • Knowledge of reinforcement learning or imitation learning techniques applied to robotics.
 • Understanding of robotics motion planning or control systems.
 • Strong software engineering skills, including version control (Git) and collaborative development workflows.
 • Prior experience working in small, collaborative teams.
 • Strong verbal and written communication skills.
 • Open to fieldwork and traveling as needed.


Why Join Us?
 • Competitive salary.
 • Stock options give you a stake in the company’s success.
 • Be part of a growing, mission-driven startup solving exciting challenges.
 • Work in a collaborative and fast-paced environment where your contributions will be highly valued.
 • Opportunities for professional growth and development.


Location: National Innovation Centre, Australia


If you’re excited about the opportunity to work at the intersection of machine learning and robotics, we’d love to hear from you!",2025-02-27 18:59:28.819237
jd1.pdf,"About the job  
About Breaker  
Breaker is a software company on a mission to build robots that act more like humans. 
Sitting at the crossroads of generative AI and robotics, we develop software that 
enables robots to make smarter decisions, work better together, and communicate 
more effectively with humans.  
 
 
We are a venture -backed startup working in the heart of the National Innovation 
Centre, surrounded by some of Australia’s most innovative deep -tech companies. At 
Breaker, you’ll work alongside highly experienced engineers tackling some of the 
toughest chal lenges in robotics and generative AI. We are looking for individuals who 
enjoy being challenged and thrive when working in the technical unknown.  
 
 
At Breaker, we strongly believe in owning what you build and offer generous stock 
options to all employees who help us on our journey to change the way the world 
works with robots. If you’re looking for a fast -paced and growing company working on 
the cutting edge of technology, Breaker might just be for you.  
 
 
About the Role  
We are seeking a  Machine Learning Engineer  to design, train, and deploy advanced 
machine learning models that enhance robotic decision -making and communication. 
You will play a critical role in training large language models (LLMs) and transformer -
based NLP systems, deploying models on edge devices , and integrating them with 
robotic systems. Responsibilities include driving end -to-end ML workflows, optimizing 
models for edge hardware, and collaborating with roboticists to bridge the gap 
between AI and robotics.  
 
 
The ideal candidate is highly skilled in machine learning model development, 
deployment, and optimization, with a passion for building solutions that bring robots closer to human -level understanding and interaction.  
 
 
About You  
Required Skills and Experience:  
 • Bachelor’s or Master’s degree in Computer Science, Artificial Intelligence, Machine 
Learning, Robotics, or a related professional field.  
 • 2+ years of experience in one or more of the following areas:  
 • Training large language models (LLMs) or transformer -based NLP systems.  
 • Deploying machine learning models onto edge hardware, such as NVIDIA Jetson or 
similar platforms.  
 • Integrating machine learning models with robotics systems.  
 • Strong experience with Python and deep learning frameworks (e.g., PyTorch, 
TensorFlow).  
 • Experience optimizing models for performance and efficiency in constrained 
environments.  
 • Solid understanding of neural network architectures, attention mechanisms, and 
transfer learning.  
 • Must be an Australian citizen.  
 
 
Preferred Skills:  
 • Experience with ROS/ROS2 development and integrating AI with robotic systems.  
 • Familiarity with hardware acceleration (e.g., CUDA, TensorRT).  
 • Knowledge of reinforcement learning or imitation learning techniques applied to 
robotics.  
 • Understanding of robotics motion planning or control systems.  
 • Strong software engineering skills, including version control (Git) and collaborative 
development workflows.   • Prior experience working in small, collaborative teams.  
 • Strong verbal and written communication skills.  
 • Open to fieldwork and traveling as needed.  
 
 
Why Join Us?  
 • Competitive salary.  
 • Stock options  give you a stake in the company’s success.  
 • Be part of a growing, mission -driven startup solving exciting challenges.  
 • Work in a collaborative and fast -paced environment where your contributions will be 
highly valued.  
 • Opportunities for professional growth and development.  
 
 
Location:  National Innovation Centre, Australia  
 
 
If you’re excited about the opportunity to work at the intersection of machine learning 
and robotics, we’d love to hear from you!",2025-02-27 18:59:28.930195
